SSL Model,Layer,Mean ROC-AUC,Mean AP,Mean Log Loss,Mean Brier Score
XLS-R,14,0.8142204150012651,0.4886182225623093,0.3489999538921621,0.1124720824805772
XLS-R,12,0.8092881424744729,0.4801834794439696,0.34991691554616855,0.11286977455967252
XLS-R,13,0.8111926235995577,0.480693993972361,0.3500915284306951,0.11298628281509185
XLS-R,15,0.8121055913573788,0.4867146762695828,0.3520387672234329,0.11372905099594945
XLS-R,1,0.7889866409452271,0.4508118034865621,0.3531748828907116,0.11393498570130081
XLS-R,2,0.7881384990906346,0.44153028546292133,0.3544801987339947,0.11459809206152363
XLS-R,16,0.8101672551071866,0.4797863249838846,0.3552073468768468,0.11508954154290456
XLS-R,11,0.8019607113366379,0.4677603222316014,0.3550007876042041,0.11513490791084895
XLS-R,10,0.8013421179242916,0.46888288212115575,0.3549989010885473,0.11525146776664723
XLS-R,3,0.7868097842610408,0.440674412842749,0.35707525518169414,0.11579955248598758
XLS-R,9,0.8000789569865693,0.4647523678483726,0.3560917439801999,0.11591731578276261
XLS-R,17,0.8088396901386729,0.47524619895259473,0.3574579885982877,0.11594359758200128
XLS-R,8,0.7967340538091013,0.45395140540238377,0.3569338851427655,0.11596144899408511
XLS-R,5,0.7881640348829121,0.4447941842296704,0.3593667290105393,0.11657213860455136
XLS-R,4,0.7866572320934324,0.4417208989709104,0.3597545720023925,0.11692226574835372
XLS-R,7,0.7902087315478566,0.44487153185840417,0.35985275560596125,0.11696929931777962
XLS-R,6,0.78952190617969,0.445693124222247,0.36005374390146017,0.11707690452183939
XLS-R,18,0.7997696606040184,0.45735207207076384,0.36336062228930693,0.11789242531873168
XLS-R,0,0.7720485223241135,0.41229024122909064,0.36380335389356233,0.11817147350560019
HuBERT,0,0.7673746127561455,0.4093460514704585,0.36533498311965074,0.11872707741833839
HuBERT,1,0.7732757987800492,0.42734341912585133,0.3651269618355632,0.11877930533098575
XLS-R,19,0.7906518031543218,0.44091064051381185,0.3679908108654721,0.11948575518809516
WavLM,0,0.7586826591997814,0.39821647085403794,0.36907968272151154,0.11985913956500827
Wav2Vec2,0,0.7627158416155349,0.4078701631883558,0.3690944022872138,0.11990424808561652
HuBERT,9,0.7899493797687003,0.44779055827441744,0.3676532248626618,0.11996132119830062
XLS-R,20,0.7865118785581265,0.43548150748207876,0.3700025824098803,0.1201720584018285
HuBERT,2,0.7686636174338569,0.4204446715135915,0.36928954285799537,0.12026939540941613
HuBERT,10,0.7878871964800248,0.45291465105265993,0.36893721954324743,0.12035931081218045
HuBERT,7,0.7837910778994136,0.44152638889683676,0.3694166513882046,0.12045891586450429
Wav2Vec2,1,0.7697930652763848,0.42035688835885404,0.3702863393018108,0.12045963859408178
HuBERT,8,0.7862990293406096,0.44449361306737784,0.3691486054040178,0.12073444872479232
Wav2Vec2,7,0.7756690963513703,0.4309129707065883,0.3726049978833088,0.12098453759563124
HuBERT,3,0.7689979184191026,0.41790090460773044,0.3725765277295084,0.12123878529682496
Wav2Vec2,2,0.7711919114296758,0.4146292659372615,0.3741891567865751,0.12147960588841988
Wav2Vec2,5,0.7750397128377673,0.42110951847667044,0.3732654454881464,0.12149971150347481
HuBERT,5,0.7728730243861133,0.42094208254272036,0.37274066075634726,0.12164745789384404
Wav2Vec2,6,0.7727061889446859,0.42683513335595613,0.37454805841313793,0.12167432866044323
XLS-R,21,0.7796678399001581,0.42489400230970686,0.3743722238759443,0.12168910248760442
HuBERT,4,0.7680226588604422,0.41258617873217046,0.37415416877613333,0.12178998607253824
HuBERT,6,0.7762475400023019,0.4291764703252595,0.37272333306984073,0.12188792172416626
Wav2Vec2,3,0.7695462035542715,0.4105044327153179,0.3748110474173953,0.1220812145834941
WavLM,12,0.7797911540095931,0.4546097995982998,0.37490926417254,0.12211398619247446
Wav2Vec2,4,0.7695824037623771,0.4106302057584025,0.37515933769904614,0.1222543320719316
Wav2Vec2,8,0.7701087100509646,0.4277862011718158,0.37689916782928956,0.12238222376747207
XLS-R,22,0.7743158272335036,0.42175776620252103,0.37689979978066795,0.12253276835787118
XLS-R,24,0.770227604763419,0.41743856275523045,0.3799479866927353,0.12353228597557621
XLS-R,23,0.7697068257702318,0.4168539715030114,0.3803326083834371,0.12381341300578226
WavLM,9,0.7739885241806604,0.4343202217424361,0.3795550026491786,0.12387145022449442
WavLM,10,0.7745123849375722,0.43621660612853486,0.37991723154336515,0.12394966958534563
HuBERT,11,0.7709875780956992,0.42263525785674577,0.3797194833891537,0.12419815124876142
HuBERT,12,0.7709335370088146,0.42762816738847864,0.38047420749943855,0.12442408290908936
Wav2Vec2,9,0.7595602383523664,0.40784998744390083,0.38340371553692754,0.12481007938200449
WavLM,1,0.7404969258952113,0.38774280181032583,0.38378838061827164,0.12532279382881525
WavLM,8,0.7621735793911734,0.4297551663374647,0.38509774317326306,0.12644201143874773
WavLM,11,0.7678462751218856,0.4242574409974204,0.38584029663339153,0.1266321747244992
Wav2Vec2,10,0.7455697725431131,0.3908548781230744,0.39006755050185216,0.12698100387181083
WavLM,7,0.7550226471767186,0.41422539944594844,0.3889428352380352,0.1277261077539741
WavLM,6,0.7504276041174027,0.39874615884751147,0.39040463522588603,0.12786975280554883
WavLM,2,0.7298565255241986,0.3788449266459489,0.3948412193204635,0.12960706628394822
WavLM,5,0.7343780060367652,0.38160648375162415,0.39685499708189537,0.13057224962137542
WavLM,3,0.7239570710757449,0.37239114949328306,0.3997459865674672,0.13131148196701284
WavLM,4,0.7249279602392046,0.37629585539979393,0.4016096177786742,0.13251273741041517
Wav2Vec2,12,0.6940938464368582,0.3440818070935759,0.4106127122656081,0.1348021868817263
Wav2Vec2,11,0.7007283108157082,0.344598117507564,0.41228380168138384,0.13519476310360043
